Run:Fill,DeliveredLS,Delivered(/ub),SelectedLS,Recorded(/ub)
195950:2718,1606,114707743.314,"[1-71], [73-138], [141-169], [172-332], [335-350], [353-382], [385-421], [424-450], [453-483], [485-616], [619-715], [718-787], [789-800], [803-829], [831-831], [833-1587]",111137636.085
195963:2719,75,1785364.09392,[54-61],661632.107472
195970:2720,213,11586477.8935,"[44-49], [51-85]",2368104.62448
196019:2723,107,10253769.9614,[54-68],1906996.9388
196027:2723,198,23047344.1438,"[1-55], [58-119], [121-155], [158-190]",22036235.0546
196046:2724,53,7487210.25273,[12-40],3974890.28782
196047:2724,93,12886788.4955,"[1-64], [70-75]",9139022.09521
196048:2724,63,6386361.76281,"[1-44], [46-48], [51-52]",5951824.59035
196197:2726,570,67387219.3413,"[58-122], [125-179], [181-311], [313-516], [519-562]",62885617.3741
196199:2726,548,53242043.5485,"[1-33], [36-83], [86-118], [121-147], [150-237], [239-285], [287-534]",50396517.3658
196200:2726,74,6249058.53191,[1-68],5700499.98064
196202:2726,115,9297831.29313,"[3-61], [64-108]",8331111.02719
196203:2726,143,8975136.67736,"[1-102], [107-135]",8614426.35208
196218:2728,835,94788257.9092,"[55-199], [201-224], [226-393], [396-494], [496-737], [739-741], [744-752], [754-757], [759-820]",89646502.7472
196239:2728,1061,81622765.4225,"[1-59], [62-154], [157-272], [274-373], [375-432], [435-465], [468-497], [503-647], [650-706], [709-1025]",78428484.1197
196249:2729,110,8970149.28704,"[63-77], [80-99]",4945884.17961
196250:2729,433,55408937.5398,"[1-2], [5-265], [267-426], [430-430]",53096516.1209
196252:2729,51,3885405.01829,[1-38],3842436.74664
196334:2732,358,41388331.5886,"[59-111], [113-123], [126-132], [135-167], [170-193], [196-257], [259-267], [270-289], [292-348]",36659538.7443
196349:2733,277,32492370.1106,"[65-84], [86-154], [157-244], [246-258]",26470138.5315
196357:2733,16,1799210.04546,[1-4],416004.717694
196359:2733,27,2980973.43384,[1-2],186155.42326
196362:2733,116,12288013.8535,[1-88],9187338.91926
196363:2733,49,4972669.60407,"[1-8], [11-34]",3188318.66427
196364:2733,1370,99076819.9499,"[1-93], [96-136], [139-365], [368-380], [382-601], [603-795], [798-884], [887-1196], [1199-1200], [1203-1302]",96945072.3907
196437:2734,227,19578712.8701,"[1-1], [3-74], [77-169]",14355207.9793
196438:2734,1299,85016878.7356,"[1-181], [184-699], [701-1269]",83832127.0391
196452:2736,1097,118411620.064,"[82-112], [114-490], [493-586], [589-618], [622-668], [671-716], [718-726], [728-956], [958-1004], [1007-1091]",112114768.413
196453:2736,1659,116230149.67,"[1-74], [77-145], [147-669], [673-714], [717-799], [802-988], [991-1178], [1180-1180], [1182-1248], [1250-1528], [1531-1647]",113452314.714
196495:2737,298,25629817.808,"[114-180], [182-272]",20628562.5753
196509:2737,117,7168264.06689,[1-68],7084498.14283
196531:2739,452,51570279.3015,"[62-150], [152-253], [256-285], [288-302], [305-422], [425-440]",47714710.4876
198049:2797,64,2029741.34587,"[1-11], [14-57]",1715543.88945
198050:2797,162,4916261.54694,[2-155],4610444.37573
198063:2797,307,8257251.78206,"[1-37], [40-72], [74-124], [127-294]",7884131.70584
198116:2798,144,8515562.61713,"[36-52], [54-55], [58-96], [98-112]",5722006.29441
198207:2805,118,8242047.35007,[1-97],6745600.5499
198208:2805,216,13527450.1788,"[1-92], [94-134], [137-147], [150-209]",12625672.2125
198210:2805,237,12885336.8296,[1-221],11989099.4593
198212:2805,581,25773163.44,[1-574],25221051.1913
198213:2805,119,4495680.17902,[1-107],3959261.20655
198215:2805,33,610208.350422,[1-12],430306.326204
